,CD57,CD19,CD4,CD8,IgD,CD11c,CD16,CD3,CD24,CD38,CD27,CD14,CXCR5,CCR7,CD45RA,CD20,CD127,CD33,CD28,CD161,TCRgd,CD123,CD56,HLADR,CD25
Monocytes CD16pos,,,,,,,1,,,,,1,,,,,,1,,,,,,,
Monocytes CD16neg,,,,,,,-1,,,,,1,,,,,,1,,,,,,,
CD4pos Naive,,,1,-1,,,,1,,,,-1,,1,1,,,-1,,,,,,,
CD4pos CM,,,1,-1,,,,1,,,,-1,,1,-1,,,-1,,,,,,,
CD4pos EM,,,1,-1,,,,1,,,,-1,,-1,-1,,,-1,,,,,,,
CD4pos Eff,,,1,-1,,,,1,,,,-1,,-1,1,,,-1,,,,,,,
CD4pos Treg,,,1,-1,,,,1,,,,-1,,,,,-1,-1,,,,,,,1
CD8pos Naive,,,-1,1,,,,1,,,,-1,,1,1,,,-1,,,,,,,
CD8pos CM,,,-1,1,,,,1,,,,-1,,1,-1,,,-1,,,,,,,
CD8pos EM,,,-1,1,,,,1,,,,-1,,-1,-1,,,-1,,,,,,,
CD8pos Eff,,,-1,1,,,,1,,,,-1,,-1,1,,,-1,,,,,,,
NK cells CD56bright,,,,,,,-1,-1,,,,-1,,,,,,-1,,,,,1,,
B cells Naive,,1,,,1,,,-1,,,-1,-1,,,,1,,-1,,,,,,,
B cells Transitional,,1,,,,,,-1,1,1,,-1,,,,1,,-1,,,,,,,
B cells Memory,,1,,,-1,,,-1,,,1,-1,,,,1,,-1,,,,,,,
Plasmablasts,,,,,,,,-1,,1,1,-1,,,,-1,,-1,,,,,,,
Basophils,,,,,,,,,,,,,,,,,,,,,,1,,-1,
mDCs,,,,,,1,,-1,,,,-1,,,,,,-1,,,,-1,,,
pDCs,,,,,,-1,,-1,,,,-1,,,,,,-1,,,,1,,,
TCRgd,,,,,,,,1,,,,-1,,,,,,-1,,,1,,,,
NKT,,,,,,,,1,,,,-1,,,,,,-1,,,,1,,,
